year,month,day=  2019 11  2
lat, East lon.=   -45.871153182  170.502067992
 14280.0  0.036119 -0.001591  0.141751
 14340.0  0.036108 -0.001864  0.141691
 14400.0  0.036095 -0.002138  0.141625
 14460.0  0.036082 -0.002411  0.141554
 14520.0  0.036068 -0.002684  0.141478
 14580.0  0.036052 -0.002956  0.141396
 14640.0  0.036036 -0.003229  0.141308
 14700.0  0.036019 -0.003501  0.141215
 14760.0  0.036000 -0.003773  0.141117
 14820.0  0.035981 -0.004045  0.141013
 14880.0  0.035960 -0.004316  0.140903
 14940.0  0.035939 -0.004587  0.140789
 15000.0  0.035917 -0.004858  0.140668
 15060.0  0.035893 -0.005129  0.140543
 15120.0  0.035869 -0.005399  0.140412
 15180.0  0.035844 -0.005668  0.140275
 15240.0  0.035818 -0.005938  0.140133
 15300.0  0.035790 -0.006207  0.139986
 15360.0  0.035762 -0.006475  0.139833
 15420.0  0.035733 -0.006743  0.139675
 15480.0  0.035703 -0.007011  0.139512
 15540.0  0.035672 -0.007278  0.139343
 15600.0  0.035640 -0.007545  0.139169
 15660.0  0.035606 -0.007811  0.138990
 15720.0  0.035572 -0.008077  0.138805
 15780.0  0.035537 -0.008343  0.138615
 15840.0  0.035502 -0.008607  0.138419
 15900.0  0.035465 -0.008872  0.138219
 15960.0  0.035427 -0.009136  0.138013
 16020.0  0.035388 -0.009399  0.137802
 16080.0  0.035348 -0.009662  0.137585
 16140.0  0.035308 -0.009924  0.137364
 16200.0  0.035266 -0.010185  0.137137
 16260.0  0.035223 -0.010446  0.136905
 16320.0  0.035180 -0.010707  0.136667
 16380.0  0.035136 -0.010967  0.136425
 16440.0  0.035090 -0.011226  0.136177
 16500.0  0.035044 -0.011484  0.135924
 16560.0  0.034997 -0.011742  0.135666
 16620.0  0.034949 -0.011999  0.135403
 16680.0  0.034900 -0.012256  0.135135
 16740.0  0.034850 -0.012512  0.134861
 16800.0  0.034799 -0.012767  0.134583
 16860.0  0.034748 -0.013021  0.134299
 16920.0  0.034695 -0.013275  0.134011
 16980.0  0.034642 -0.013528  0.133717
 17040.0  0.034587 -0.013780  0.133419
 17100.0  0.034532 -0.014032  0.133115
 17160.0  0.034476 -0.014283  0.132806
 17220.0  0.034419 -0.014532  0.132493
 17280.0  0.034361 -0.014782  0.132174
 17340.0  0.034303 -0.015030  0.131851
 17400.0  0.034243 -0.015277  0.131522
 17460.0  0.034183 -0.015524  0.131189
 17520.0  0.034121 -0.015770  0.130851
 17580.0  0.034059 -0.016015  0.130508
 17640.0  0.033996 -0.016259  0.130160
 17700.0  0.033933 -0.016502  0.129807
 17760.0  0.033868 -0.016745  0.129450
 17820.0  0.033803 -0.016986  0.129087
 17880.0  0.033736 -0.017227  0.128720
 17940.0  0.033669 -0.017467  0.128348
 18000.0  0.033602 -0.017705  0.127972
 18060.0  0.033533 -0.017943  0.127590
 18120.0  0.033463 -0.018180  0.127204
 18180.0  0.033393 -0.018416  0.126814
 18240.0  0.033322 -0.018651  0.126418
 18300.0  0.033250 -0.018885  0.126018
 18360.0  0.033178 -0.019118  0.125614
 18420.0  0.033104 -0.019350  0.125205
 18480.0  0.033030 -0.019581  0.124791
 18540.0  0.032955 -0.019811  0.124373
 18600.0  0.032880 -0.020040  0.123950
 18660.0  0.032803 -0.020268  0.123523
 18720.0  0.032726 -0.020494  0.123091
 18780.0  0.032648 -0.020720  0.122655
 18840.0  0.032569 -0.020945  0.122214
 18900.0  0.032490 -0.021169  0.121769
 18960.0  0.032410 -0.021391  0.121320
 19020.0  0.032329 -0.021612  0.120866
 19080.0  0.032248 -0.021833  0.120408
 19140.0  0.032165 -0.022052  0.119945
 19200.0  0.032083 -0.022270  0.119479
 19260.0  0.031999 -0.022487  0.119008
 19320.0  0.031915 -0.022703  0.118532
 19380.0  0.031830 -0.022918  0.118053
 19440.0  0.031744 -0.023131  0.117569
 19500.0  0.031658 -0.023343  0.117081
 19560.0  0.031571 -0.023554  0.116589
 19620.0  0.031483 -0.023764  0.116093
 19680.0  0.031395 -0.023973  0.115593
 19740.0  0.031306 -0.024181  0.115089
 19800.0  0.031216 -0.024387  0.114581
 19860.0  0.031126 -0.024592  0.114069
 19920.0  0.031035 -0.024796  0.113552
 19980.0  0.030944 -0.024999  0.113032
 20040.0  0.030852 -0.025200  0.112508
 20100.0  0.030759 -0.025400  0.111980
 20160.0  0.030666 -0.025599  0.111448
 20220.0  0.030572 -0.025796  0.110912
 20280.0  0.030478 -0.025993  0.110373
 20340.0  0.030383 -0.026188  0.109829
 20400.0  0.030287 -0.026381  0.109282
 20460.0  0.030191 -0.026574  0.108731
 20520.0  0.030094 -0.026765  0.108176
 20580.0  0.029997 -0.026955  0.107618
 20640.0  0.029899 -0.027143  0.107056
