"user","screen_name","follows"
"273152549","mike_thepress",14
"803126","coffee_bee",2
"14841472","brenda_archer",1
"8554682","bhatnagar",5
"3346807874","EmmaVitz",167
"19947604","emilynz",110
"973803194185904129","gasaxe666",7
"45449114","_mharvey",30
"446518264","mjsqu",17
"14189315","itamer",24
"14052038","bthatcher_icc",6
"3189070548","cehart03",1
"996934423957377025","MaryWoo01383280",1
"978367711951687681","shanwalt_ds",1
"154046719","Raabulha",1
"531549158","ChrisFerris3",4
"15924271","seraph_zaho",0
"203340868","DrSinBin",11
"473515472","Addifaerber",7
"993858996267290624","SamLivingstone_",2
"994342215055884288","AotearoaPeople",125
"3096838877","tvroylandt",2
"2604490724","FoxyLustyGrover",223
"83260346","JeffC1956",2
"25067949","Not_shax",115
"44245289","dp63nz",3
"984947989872394240","HamPressClub",46
"243874904","mattj_crawford",15
"292759417","Ben_Ackland",10
"14773632","newzedland",59
"224984964","dangerousbeans_",2
"391136253","rustie5555",54
"985326534415167488","flightlessrobot",19
"559966263","zanismlab",1
"1600995199","paulusj8",4
"91808386","santosh_ks10",1
"785423243876327424","nerskin95",4
"268457571","a_alrababah",4
"1818841","i_am_camilo",1
"1362264654","ChristEd930427",4
"109323518","marypcbuk",15
"32874036","parashar1505",0
"903976497953767424","BeltzEcology",4
"14534523","heyaudy",4
"3320673862","mvkorpel",2
"229564414","minebocek",103
"90120525","UdayKapur",3
"930601409988386817","EcolModAG",19
"1530064784","nacnudus",22
"931592333757267968","EvalNerd",3
"602703078","Lukeslifeonline",5
"7859112","steffenrusten",102
"1146983815","caracevaaa",31
"2812683571","MthreeGee",50
"332545809","DebsHancock",57
"15188612","timClicks",126
"21178259","adzebill",204
"190550528","sallynicholl",5
"2815624242","southfern",19
"35667496","zenpeacekeeper",310
"35135704","FireTheClapper1",2
"7149342","nathanm",46
"1726640160","enotsluap",65
"4856629021","opendatanz",166
"368551889","IsabellaGhement",40
"15303990","jeffrey_miller",1
"237905999","Psopho",21
"273660990","campbead",1
"1529234226","DnFlatNames",20
"956775773305630721","Therentadvisor",5
"174572586","KirkSerpes",126
"3116460956","Cy_Young_Si",6
"47886347","kimi_collins",201
"19047502","davidorlovich",34
"355890988","botanyotago",9
"356788303","SiouxsieW",288
"1058849785","Leif_Greiss",1
"51422426","spekulatius1984",6
"2616259243","tomelliottnz",32
"2611910322","lucykpick",2
"693273","purzelrakete",2
"369089674","dvdjhnhll",153
"14107395","bcaffo",65
"901996666198175744","charlene_rapsey",42
"933407928006176768","HassanGhias5",1
"711468913","HonestUniverse",143
"63901070","voxmenthe",2
"59715745","JeremyDigitalus",2
"15433622","nicoleradziwill",42
"74860873","braddonlance",1
"158756964","romunov",9
"884253117251858432","john_t_ormerod",26
"2973406683","kearneymw",84
"229436060","Buretto77",18
"17034301","peeyooshchandra",12
"32362572","julietkl",3
"102271389","Brycepearce",99
"2397378751","MinistryofWTF",3
"862642152","JustTheSpring",9
"1285191396","FiWindle",14
"1093628184","SekouLRemy",2
"88977722","Jeeva_G",4
"21260922","AlastairJNZ",48
"9200682","mattharman",7
"198965749","monkmanmh",27
"351500766","mrpaulreynolds",2
"788153420297285632","GnTepps",2
"2790784614","kahuranginp",8
"18262599","nicolalauren_",31
"922302445979500546","jwacarrollNZ",19
"148779346","reachsimbu",4
"5412972","johnffrye",2
